Experiment start. 

Data :	 6
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 9.437500	 taskstep variance 2.064582	 total taskstep 12.000000	 robotstep 62.000000	 robotstep mean 53.250000	 robotstep variance 5.118594	 total robotstep 66.000000
RandomSearch Algorithm :	 taskstep 21.000000	 taskstep mean 14.125000	 taskstep variance 3.222318	 total taskstep 14.000000	 robotstep 57.000000	 robotstep mean 46.250000	 robotstep variance 5.053052	 total robotstep 65.000000
Data 8 complete: (RandomSearch Algorithm)	 success rate: 1.000000	 task step: 21.850000	 taskstep mean 16.878125	 taskstep variance 2.675724	 total taskstep 18.600000	 robotstep 61.550000	 robotstep mean 49.403125	 robotstep variance 5.579163	 total robotstep 68.450000

Data :	 9
RandomNoPair Algorithm fails! 
RandomNoPair Algorithm :	 taskstep 25.000000	 taskstep mean 15.312500	 taskstep variance 6.539304	 total taskstep 27.000000	 robotstep 76.000000	 robotstep mean 56.875000	 robotstep variance 9.272720	 total robotstep 86.000000
RandomNoPair Algorithm :	 taskstep 16.000000	 taskstep mean 11.062500	 taskstep variance 3.696282	 total taskstep 16.000000	 robotstep 60.000000	 robotstep mean 46.437500	 robotstep variance 5.966224	 total robotstep 61.000000
RandomNoPair Algorithm :	 taskstep 30.000000	 taskstep mean 17.125000	 taskstep variance 10.301294	 total taskstep 34.000000	 robotstep 56.000000	 robotstep mean 42.812500	 robotstep variance 6.046693	 total robotstep 56.000000
RandomNoPair Algorithm :	 taskstep 24.000000	 taskstep mean 15.125000	 taskstep variance 8.381527	 total taskstep 32.000000	 robotstep 58.000000	 robotstep mean 45.625000	 robotstep variance 5.840947	 total robotstep 60.000000
RandomNoPair Algorithm :	 taskstep 27.000000	 taskstep mean 15.937500	 taskstep variance 7.307245	 total taskstep 33.000000	 robotstep 58.000000	 robotstep mean 46.875000	 robotstep variance 6.119641	 total robotstep 64.000000
RandomNoPair Algorithm :	 taskstep 23.000000	 taskstep mean 15.187500	 taskstep variance 5.528336	 total taskstep 27.000000	 robotstep 64.000000	 robotstep mean 51.562500	 robotstep variance 7.366308	 total robotstep 74.000000
RandomNoPair Algorithm :	 taskstep 16.000000	 taskstep mean 11.375000	 taskstep variance 4.177320	 total taskstep 17.000000	 robotstep 58.000000	 robotstep mean 45.125000	 robotstep variance 5.690636	 total robotstep 59.000000
RandomNoPair Algorithm :	 taskstep 19.000000	 taskstep mean 11.937500	 taskstep variance 4.864412	 total taskstep 20.000000	 robotstep 58.000000	 robotstep mean 46.750000	 robotstep variance 5.144576	 total robotstep 61.000000
RandomNoPair Algorithm :	 taskstep 20.000000	 taskstep mean 12.437500	 taskstep variance 6.131544	 total taskstep 24.000000	 robotstep 56.000000	 robotstep mean 44.437500	 robotstep variance 5.573374	 total robotstep 57.000000
RandomNoPair Algorithm :	 taskstep 23.000000	 taskstep mean 14.625000	 taskstep variance 7.605919	 total taskstep 30.000000	 robotstep 62.000000	 robotstep mean 47.750000	 robotstep variance 6.071793	 total robotstep 63.000000
RandomNoPair Algorithm :	 taskstep 24.000000	 taskstep mean 16.187500	 taskstep variance 6.420994	 total taskstep 27.000000	 robotstep 61.000000	 robotstep mean 49.000000	 robotstep variance 6.207522	 total robotstep 68.000000
RandomNoPair Algorithm :	 taskstep 29.000000	 taskstep mean 16.187500	 taskstep variance 9.460224	 total taskstep 38.000000	 robotstep 60.000000	 robotstep mean 46.875000	 robotstep variance 5.806605	 total robotstep 62.000000
RandomNoPair Algorithm :	 taskstep 21.000000	 taskstep mean 13.562500	 taskstep variance 6.355772	 total taskstep 25.000000	 robotstep 73.000000	 robotstep mean 54.250000	 robotstep variance 9.190575	 total robotstep 77.000000
RandomNoPair Algorithm :	 taskstep 18.000000	 taskstep mean 12.500000	 taskstep variance 5.304086	 total taskstep 22.000000	 robotstep 60.000000	 robotstep mean 46.187500	 robotstep variance 6.337389	 total robotstep 60.000000
RandomNoPair Algorithm :	 taskstep 16.000000	 taskstep mean 11.250000	 taskstep variance 4.250490	 total taskstep 18.000000	 robotstep 65.000000	 robotstep mean 51.062500	 robotstep variance 8.233823	 total robotstep 70.000000
RandomNoPair Algorithm :	 taskstep 26.000000	 taskstep mean 15.750000	 taskstep variance 6.169819	 total taskstep 29.000000	 robotstep 63.000000	 robotstep mean 50.250000	 robotstep variance 6.202150	 total robotstep 69.000000
RandomNoPair Algorithm :	 taskstep 20.000000	 taskstep mean 13.062500	 taskstep variance 5.446329	 total taskstep 21.000000	 robotstep 67.000000	 robotstep mean 50.812500	 robotstep variance 9.460224	 total robotstep 76.000000
RandomNoPair Algorithm :	 taskstep 21.000000	 taskstep mean 12.937500	 taskstep variance 6.016297	 total taskstep 25.000000	 robotstep 56.000000	 robotstep mean 44.250000	 robotstep variance 5.732946	 total robotstep 56.000000
RandomNoPair Algorithm :	 taskstep 19.000000	 taskstep mean 12.812500	 taskstep variance 5.528336	 total taskstep 25.000000	 robotstep 62.000000	 robotstep mean 49.187500	 robotstep variance 5.718027	 total robotstep 66.000000
Data 9 complete: (RandNoPair Algorithm)	 success rate: 0.950000	 task step: 21.947368	 taskstep mean 13.914474	 taskstep variance 6.288712	 total taskstep 25.789474	 robotstep 61.736842	 robotstep mean 48.217105	 robotstep variance 6.630641	 total robotstep 65.526316
RandomSearch Algorithm :	 taskstep 48.000000	 taskstep mean 27.375000	 taskstep variance 18.420550	 total taskstep 65.000000	 robotstep 70.000000	 robotstep mean 52.625000	 robotstep variance 7.889867	 total robotstep 73.000000
RandomSearch Algorithm :	 taskstep 36.000000	 taskstep mean 20.875000	 taskstep variance 11.763645	 total taskstep 36.000000	 robotstep 71.000000	 robotstep mean 53.500000	 robotstep variance 8.884443	 total robotstep 74.000000
RandomSearch Algorithm :	 taskstep 21.000000	 taskstep mean 12.375000	 taskstep variance 5.377422	 total taskstep 18.000000	 robotstep 68.000000	 robotstep mean 51.875000	 robotstep variance 7.813450	 total robotstep 71.000000
RandomSearch Algorithm :	 taskstep 27.000000	 taskstep mean 17.625000	 taskstep variance 5.783597	 total taskstep 23.000000	 robotstep 78.000000	 robotstep mean 57.812500	 robotstep variance 9.833404	 total robotstep 80.000000
RandomSearch Algorithm :	 taskstep 29.000000	 taskstep mean 17.250000	 taskstep variance 8.481352	 total taskstep 33.000000	 robotstep 55.000000	 robotstep mean 45.375000	 robotstep variance 4.395073	 total robotstep 62.000000
RandomSearch Algorithm :	 taskstep 24.000000	 taskstep mean 14.375000	 taskstep variance 7.455423	 total taskstep 24.000000	 robotstep 68.000000	 robotstep mean 52.187500	 robotstep variance 8.288295	 total robotstep 72.000000
RandomSearch Algorithm :	 taskstep 26.000000	 taskstep mean 17.500000	 taskstep variance 5.316641	 total taskstep 26.000000	 robotstep 72.000000	 robotstep mean 54.812500	 robotstep variance 7.976789	 total robotstep 77.000000
RandomSearch Algorithm :	 taskstep 24.000000	 taskstep mean 14.562500	 taskstep variance 6.663020	 total taskstep 22.000000	 robotstep 74.000000	 robotstep mean 57.375000	 robotstep variance 9.054465	 total robotstep 80.000000
RandomSearch Algorithm :	 taskstep 32.000000	 taskstep mean 19.125000	 taskstep variance 10.236373	 total taskstep 32.000000	 robotstep 58.000000	 robotstep mean 48.312500	 robotstep variance 5.941030	 total robotstep 67.000000
RandomSearch Algorithm :	 taskstep 57.000000	 taskstep mean 32.250000	 taskstep variance 21.120290	 total taskstep 75.000000	 robotstep 71.000000	 robotstep mean 56.062500	 robotstep variance 8.402133	 total robotstep 79.000000
RandomSearch Algorithm :	 taskstep 27.000000	 taskstep mean 15.562500	 taskstep variance 8.390222	 total taskstep 25.000000	 robotstep 68.000000	 robotstep mean 52.562500	 robotstep variance 7.999740	 total robotstep 71.000000
RandomSearch Algorithm :	 taskstep 52.000000	 taskstep mean 31.875000	 taskstep variance 16.596686	 total taskstep 64.000000	 robotstep 68.000000	 robotstep mean 52.687500	 robotstep variance 8.746190	 total robotstep 72.000000
RandomSearch Algorithm :	 taskstep 64.000000	 taskstep mean 39.625000	 taskstep variance 22.255711	 total taskstep 83.000000	 robotstep 56.000000	 robotstep mean 44.687500	 robotstep variance 5.907270	 total robotstep 62.000000
RandomSearch Algorithm :	 taskstep 52.000000	 taskstep mean 29.625000	 taskstep variance 19.489741	 total taskstep 68.000000	 robotstep 76.000000	 robotstep mean 57.500000	 robotstep variance 8.586812	 total robotstep 81.000000
RandomSearch Algorithm :	 taskstep 22.000000	 taskstep mean 13.250000	 taskstep variance 5.627314	 total taskstep 18.000000	 robotstep 70.000000	 robotstep mean 52.625000	 robotstep variance 8.578073	 total robotstep 73.000000
RandomSearch Algorithm :	 taskstep 54.000000	 taskstep mean 29.375000	 taskstep variance 22.458480	 total taskstep 69.000000	 robotstep 68.000000	 robotstep mean 52.562500	 robotstep variance 7.949581	 total robotstep 72.000000
RandomSearch Algorithm :	 taskstep 31.000000	 taskstep mean 20.250000	 taskstep variance 6.884766	 total taskstep 31.000000	 robotstep 77.000000	 robotstep mean 57.812500	 robotstep variance 9.246396	 total robotstep 79.000000
RandomSearch Algorithm :	 taskstep 73.000000	 taskstep mean 39.000000	 taskstep variance 31.858018	 total taskstep 95.000000	 robotstep 70.000000	 robotstep mean 53.250000	 robotstep variance 7.945649	 total robotstep 74.000000
RandomSearch Algorithm :	 taskstep 24.000000	 taskstep mean 14.125000	 taskstep variance 6.888396	 total taskstep 21.000000	 robotstep 72.000000	 robotstep mean 54.375000	 robotstep variance 8.770215	 total robotstep 75.000000
RandomSearch Algorithm :	 taskstep 41.000000	 taskstep mean 25.750000	 taskstep variance 11.997222	 total taskstep 44.000000	 robotstep 77.000000	 robotstep mean 57.312500	 robotstep variance 9.672771	 total robotstep 80.000000
Data 9 complete: (RandomSearch Algorithm)	 success rate: 1.000000	 task step: 38.200000	 taskstep mean 22.587500	 taskstep variance 12.653244	 total taskstep 43.600000	 robotstep 69.350000	 robotstep mean 53.265625	 robotstep variance 8.094082	 total robotstep 73.700000

Data :	 10
RandomNoPair Algorithm :	 taskstep 23.000000	 taskstep mean 13.937500	 taskstep variance 6.104302	 total taskstep 25.000000	 robotstep 61.000000	 robotstep mean 48.062500	 robotstep variance 5.182905	 total robotstep 67.000000
RandomNoPair Algorithm fails! 
RandomNoPair Algorithm :	 taskstep 11.000000	 taskstep mean 8.062500	 taskstep variance 1.691892	 total taskstep 11.000000	 robotstep 61.000000	 robotstep mean 48.562500	 robotstep variance 5.415641	 total robotstep 67.000000
RandomNoPair Algorithm :	 taskstep 11.000000	 taskstep mean 8.500000	 taskstep variance 1.505545	 total taskstep 11.000000	 robotstep 59.000000	 robotstep mean 46.562500	 robotstep variance 6.032896	 total robotstep 63.000000
RandomNoPair Algorithm :	 taskstep 23.000000	 taskstep mean 16.125000	 taskstep variance 6.031860	 total taskstep 26.000000	 robotstep 70.000000	 robotstep mean 53.187500	 robotstep variance 5.912910	 total robotstep 75.000000
RandomNoPair Algorithm :	 taskstep 13.000000	 taskstep mean 10.250000	 taskstep variance 1.612452	 total taskstep 14.000000	 robotstep 64.000000	 robotstep mean 53.000000	 robotstep variance 5.366563	 total robotstep 76.000000
RandomNoPair Algorithm :	 taskstep 13.000000	 taskstep mean 10.375000	 taskstep variance 2.028957	 total taskstep 14.000000	 robotstep 64.000000	 robotstep mean 49.875000	 robotstep variance 5.596130	 total robotstep 70.000000
RandomNoPair Algorithm :	 taskstep 17.000000	 taskstep mean 11.687500	 taskstep variance 3.572464	 total taskstep 20.000000	 robotstep 69.000000	 robotstep mean 52.250000	 robotstep variance 6.698258	 total robotstep 74.000000
RandomNoPair Algorithm :	 taskstep 14.000000	 taskstep mean 10.750000	 taskstep variance 2.113449	 total taskstep 14.000000	 robotstep 59.000000	 robotstep mean 47.000000	 robotstep variance 5.573748	 total robotstep 63.000000
RandomNoPair Algorithm :	 taskstep 16.000000	 taskstep mean 11.687500	 taskstep variance 3.360927	 total taskstep 16.000000	 robotstep 70.000000	 robotstep mean 52.812500	 robotstep variance 6.833435	 total robotstep 76.000000
RandomNoPair Algorithm :	 taskstep 17.000000	 taskstep mean 11.562500	 taskstep variance 3.385631	 total taskstep 19.000000	 robotstep 63.000000	 robotstep mean 48.562500	 robotstep variance 6.334759	 total robotstep 67.000000
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 8.750000	 taskstep variance 2.236068	 total taskstep 12.000000	 robotstep 59.000000	 robotstep mean 46.437500	 robotstep variance 5.253174	 total robotstep 64.000000
RandomNoPair Algorithm :	 taskstep 11.000000	 taskstep mean 8.687500	 taskstep variance 1.352467	 total taskstep 11.000000	 robotstep 61.000000	 robotstep mean 47.750000	 robotstep variance 5.603570	 total robotstep 66.000000
RandomNoPair Algorithm :	 taskstep 19.000000	 taskstep mean 13.875000	 taskstep variance 4.544227	 total taskstep 20.000000	 robotstep 65.000000	 robotstep mean 51.062500	 robotstep variance 6.027368	 total robotstep 72.000000
RandomNoPair Algorithm :	 taskstep 16.000000	 taskstep mean 11.500000	 taskstep variance 3.464102	 total taskstep 17.000000	 robotstep 61.000000	 robotstep mean 46.437500	 robotstep variance 5.819149	 total robotstep 63.000000
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 8.812500	 taskstep variance 2.040221	 total taskstep 12.000000	 robotstep 60.000000	 robotstep mean 47.875000	 robotstep variance 5.772059	 total robotstep 65.000000
RandomNoPair Algorithm :	 taskstep 15.000000	 taskstep mean 11.062500	 taskstep variance 2.999305	 total taskstep 16.000000	 robotstep 72.000000	 robotstep mean 53.750000	 robotstep variance 6.071793	 total robotstep 83.000000
RandomNoPair Algorithm :	 taskstep 17.000000	 taskstep mean 11.250000	 taskstep variance 3.732738	 total taskstep 18.000000	 robotstep 69.000000	 robotstep mean 51.000000	 robotstep variance 6.418723	 total robotstep 73.000000
RandomNoPair Algorithm :	 taskstep 20.000000	 taskstep mean 13.687500	 taskstep variance 4.840368	 total taskstep 23.000000	 robotstep 67.000000	 robotstep mean 50.437500	 robotstep variance 6.142407	 total robotstep 71.000000
RandomNoPair Algorithm :	 taskstep 16.000000	 taskstep mean 12.000000	 taskstep variance 3.464102	 total taskstep 18.000000	 robotstep 57.000000	 robotstep mean 47.687500	 robotstep variance 4.949327	 total robotstep 66.000000
Data 10 complete: (RandNoPair Algorithm)	 success rate: 0.950000	 task step: 15.578947	 taskstep mean 11.187500	 taskstep variance 3.162162	 total taskstep 16.684211	 robotstep 63.736842	 robotstep mean 49.595395	 robotstep variance 5.842359	 total robotstep 69.526316
RandomSearch Algorithm :	 taskstep 14.000000	 taskstep mean 10.062500	 taskstep variance 2.294014	 total taskstep 8.000000	 robotstep 77.000000	 robotstep mean 57.625000	 robotstep variance 7.744891	 total robotstep 85.000000
RandomSearch Algorithm :	 taskstep 14.000000	 taskstep mean 9.812500	 taskstep variance 2.286737	 total taskstep 8.000000	 robotstep 77.000000	 robotstep mean 57.375000	 robotstep variance 7.517757	 total robotstep 85.000000
RandomSearch Algorithm :	 taskstep 14.000000	 taskstep mean 10.062500	 taskstep variance 2.294014	 total taskstep 8.000000	 robotstep 77.000000	 robotstep mean 57.375000	 robotstep variance 7.410578	 total robotstep 85.000000
RandomSearch Algorithm :	 taskstep 19.000000	 taskstep mean 13.187500	 taskstep variance 4.069705	 total taskstep 15.000000	 robotstep 83.000000	 robotstep mean 58.937500	 robotstep variance 7.801442	 total robotstep 90.000000
RandomSearch Algorithm :	 taskstep 14.000000	 taskstep mean 10.125000	 taskstep variance 2.305790	 total taskstep 8.000000	 robotstep 77.000000	 robotstep mean 57.312500	 robotstep variance 7.445077	 total robotstep 85.000000
RandomSearch Algorithm :	 taskstep 15.000000	 taskstep mean 10.312500	 taskstep variance 2.676285	 total taskstep 9.000000	 robotstep 76.000000	 robotstep mean 57.250000	 robotstep variance 7.150758	 total robotstep 84.000000
RandomSearch Algorithm :	 taskstep 23.000000	 taskstep mean 18.562500	 taskstep variance 4.178816	 total taskstep 24.000000	 robotstep 73.000000	 robotstep mean 56.937500	 robotstep variance 6.567280	 total robotstep 87.000000
RandomSearch Algorithm :	 taskstep 18.000000	 taskstep mean 12.687500	 taskstep variance 3.177394	 total taskstep 13.000000	 robotstep 67.000000	 robotstep mean 54.062500	 robotstep variance 6.233979	 total robotstep 78.000000
RandomSearch Algorithm :	 taskstep 14.000000	 taskstep mean 10.062500	 taskstep variance 2.294014	 total taskstep 8.000000	 robotstep 77.000000	 robotstep mean 57.250000	 robotstep variance 7.353004	 total robotstep 85.000000
RandomSearch Algorithm :	 taskstep 14.000000	 taskstep mean 10.000000	 taskstep variance 2.250926	 total taskstep 8.000000	 robotstep 77.000000	 robotstep mean 57.125000	 robotstep variance 7.500000	 total robotstep 85.000000
RandomSearch Algorithm :	 taskstep 22.000000	 taskstep mean 16.562500	 taskstep variance 3.705289	 total taskstep 20.000000	 robotstep 73.000000	 robotstep mean 54.750000	 robotstep variance 6.340347	 total robotstep 84.000000
RandomSearch Algorithm :	 taskstep 16.000000	 taskstep mean 11.687500	 taskstep variance 2.651258	 total taskstep 12.000000	 robotstep 78.000000	 robotstep mean 57.687500	 robotstep variance 7.480809	 total robotstep 87.000000
RandomSearch Algorithm :	 taskstep 18.000000	 taskstep mean 12.875000	 taskstep variance 2.986079	 total taskstep 13.000000	 robotstep 65.000000	 robotstep mean 50.000000	 robotstep variance 6.460134	 total robotstep 72.000000
RandomSearch Algorithm :	 taskstep 14.000000	 taskstep mean 10.062500	 taskstep variance 2.294014	 total taskstep 8.000000	 robotstep 77.000000	 robotstep mean 57.250000	 robotstep variance 7.353004	 total robotstep 85.000000
RandomSearch Algorithm :	 taskstep 14.000000	 taskstep mean 10.062500	 taskstep variance 2.294014	 total taskstep 8.000000	 robotstep 77.000000	 robotstep mean 57.375000	 robotstep variance 7.410578	 total robotstep 85.000000
RandomSearch Algorithm :	 taskstep 22.000000	 taskstep mean 15.562500	 taskstep variance 3.794184	 total taskstep 18.000000	 robotstep 85.000000	 robotstep mean 60.625000	 robotstep variance 8.747381	 total robotstep 94.000000
RandomSearch Algorithm :	 taskstep 15.000000	 taskstep mean 10.500000	 taskstep variance 2.476557	 total taskstep 9.000000	 robotstep 73.000000	 robotstep mean 55.687500	 robotstep variance 6.436549	 total robotstep 83.000000
RandomSearch Algorithm :	 taskstep 19.000000	 taskstep mean 12.875000	 taskstep variance 3.721559	 total taskstep 14.000000	 robotstep 73.000000	 robotstep mean 56.312500	 robotstep variance 6.730218	 total robotstep 83.000000
RandomSearch Algorithm :	 taskstep 19.000000	 taskstep mean 15.000000	 taskstep variance 3.502380	 total taskstep 17.000000	 robotstep 69.000000	 robotstep mean 52.312500	 robotstep variance 6.620360	 total robotstep 80.000000
RandomSearch Algorithm :	 taskstep 17.000000	 taskstep mean 12.687500	 taskstep variance 2.914761	 total taskstep 12.000000	 robotstep 79.000000	 robotstep mean 58.750000	 robotstep variance 6.777413	 total robotstep 93.000000
Data 10 complete: (RandomSearch Algorithm)	 success rate: 1.000000	 task step: 16.750000	 taskstep mean 12.137500	 taskstep variance 2.908389	 total taskstep 12.000000	 robotstep 75.500000	 robotstep mean 56.600000	 robotstep variance 7.154078	 total robotstep 84.750000
