Experiment start. 

Data :	 1
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.375000	 taskstep variance 0.744024	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.375000	 robotstep variance 1.060660	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 6.125000	 taskstep variance 1.024695	 total taskstep 8.000000	 robotstep 58.000000	 robotstep mean 48.687500	 robotstep variance 4.840368	 total robotstep 59.000000
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 7.437500	 taskstep variance 1.412740	 total taskstep 10.000000	 robotstep 62.000000	 robotstep mean 50.750000	 robotstep variance 5.259911	 total robotstep 63.000000
Data 6 complete: (SAPOAads Algorithm)	 success rate: 1.000000	 task step: 10.050000	 taskstep mean 7.950000	 taskstep variance 1.371625	 total taskstep 10.950000	 robotstep 59.700000	 robotstep mean 49.925000	 robotstep variance 4.859103	 total robotstep 61.350000

Data :	 7
SAPOAads Algorithm :	 taskstep 17.000000	 taskstep mean 13.437500	 taskstep variance 2.528998	 total taskstep 20.000000	 robotstep 46.000000	 robotstep mean 38.437500	 robotstep variance 3.032463	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 5.750000	 taskstep variance 1.238278	 total taskstep 7.000000	 robotstep 43.000000	 robotstep mean 37.625000	 robotstep variance 2.446085	 total robotstep 48.000000
SAPOAads Algorithm :	 taskstep 12.000000	 taskstep mean 9.812500	 taskstep variance 2.587631	 total taskstep 13.000000	 robotstep 46.000000	 robotstep mean 39.250000	 robotstep variance 2.768875	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 7.125000	 taskstep variance 2.061553	 total taskstep 9.000000	 robotstep 42.000000	 robotstep mean 38.187500	 robotstep variance 2.007278	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 7.625000	 taskstep variance 1.995829	 total taskstep 10.000000	 robotstep 46.000000	 robotstep mean 38.812500	 robotstep variance 3.081531	 total robotstep 48.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 6.812500	 taskstep variance 1.515201	 total taskstep 8.000000	 robotstep 44.000000	 robotstep mean 39.812500	 robotstep variance 1.721191	 total robotstep 51.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 7.000000	 taskstep variance 1.549193	 total taskstep 9.000000	 robotstep 46.000000	 robotstep mean 38.875000	 robotstep variance 2.963669	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 12.000000	 taskstep mean 9.437500	 taskstep variance 1.787689	 total taskstep 12.000000	 robotstep 47.000000	 robotstep mean 41.187500	 robotstep variance 2.227667	 total robotstep 52.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 6.250000	 taskstep variance 1.341641	 total taskstep 8.000000	 robotstep 40.000000	 robotstep mean 35.500000	 robotstep variance 2.556039	 total robotstep 43.000000
SAPOAads Algorithm :	 taskstep 14.000000	 taskstep mean 11.062500	 taskstep variance 2.644964	 total taskstep 16.000000	 robotstep 43.000000	 robotstep mean 39.125000	 robotstep variance 2.473190	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 16.000000	 taskstep mean 12.250000	 taskstep variance 3.454466	 total taskstep 18.000000	 robotstep 48.000000	 robotstep mean 43.187500	 robotstep variance 2.344319	 total robotstep 54.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 10.062500	 taskstep variance 2.379601	 total taskstep 15.000000	 robotstep 39.000000	 robotstep mean 34.562500	 robotstep variance 2.096624	 total robotstep 42.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 7.187500	 taskstep variance 2.257395	 total taskstep 10.000000	 robotstep 41.000000	 robotstep mean 37.062500	 robotstep variance 2.351418	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 15.000000	 taskstep mean 12.437500	 taskstep variance 2.920474	 total taskstep 18.000000	 robotstep 48.000000	 robotstep mean 41.750000	 robotstep variance 2.886751	 total robotstep 53.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 6.937500	 taskstep variance 1.878608	 total taskstep 9.000000	 robotstep 38.000000	 robotstep mean 34.062500	 robotstep variance 2.174665	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 12.000000	 taskstep mean 9.375000	 taskstep variance 2.777889	 total taskstep 12.000000	 robotstep 48.000000	 robotstep mean 40.875000	 robotstep variance 2.655184	 total robotstep 52.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 7.000000	 taskstep variance 2.449490	 total taskstep 9.000000	 robotstep 39.000000	 robotstep mean 34.375000	 robotstep variance 2.093641	 total robotstep 42.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 6.812500	 taskstep variance 1.167262	 total taskstep 8.000000	 robotstep 46.000000	 robotstep mean 39.687500	 robotstep variance 2.088660	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 6.375000	 taskstep variance 1.857418	 total taskstep 8.000000	 robotstep 38.000000	 robotstep mean 34.937500	 robotstep variance 1.878608	 total robotstep 42.000000
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 8.187500	 taskstep variance 1.641899	 total taskstep 10.000000	 robotstep 47.000000	 robotstep mean 40.875000	 robotstep variance 2.418677	 total robotstep 51.000000
Data 7 complete: (SAPOAads Algorithm)	 success rate: 1.000000	 task step: 10.750000	 taskstep mean 8.546875	 taskstep variance 2.101774	 total taskstep 11.450000	 robotstep 43.750000	 robotstep mean 38.409375	 robotstep variance 2.413327	 total robotstep 47.850000

Data :	 8
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 7.000000	 taskstep variance 1.032796	 total taskstep 10.000000	 robotstep 44.000000	 robotstep mean 37.812500	 robotstep variance 3.250000	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 15.000000	 taskstep mean 13.312500	 taskstep variance 1.195478	 total taskstep 19.000000	 robotstep 61.000000	 robotstep mean 48.687500	 robotstep variance 5.929798	 total robotstep 62.000000
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 8.250000	 taskstep variance 1.125463	 total taskstep 12.000000	 robotstep 56.000000	 robotstep mean 46.750000	 robotstep variance 4.074310	 total robotstep 63.000000
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 8.250000	 taskstep variance 0.856349	 total taskstep 12.000000	 robotstep 58.000000	 robotstep mean 47.312500	 robotstep variance 4.895151	 total robotstep 62.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 9.812500	 taskstep variance 1.046821	 total taskstep 14.000000	 robotstep 51.000000	 robotstep mean 41.500000	 robotstep variance 3.777124	 total robotstep 52.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 9.437500	 taskstep variance 1.263263	 total taskstep 13.000000	 robotstep 57.000000	 robotstep mean 47.812500	 robotstep variance 4.086054	 total robotstep 64.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 8.687500	 taskstep variance 1.302242	 total taskstep 12.000000	 robotstep 51.000000	 robotstep mean 41.250000	 robotstep variance 4.219005	 total robotstep 52.000000
SAPOAads Algorithm :	 taskstep 14.000000	 taskstep mean 12.000000	 taskstep variance 1.264911	 total taskstep 16.000000	 robotstep 60.000000	 robotstep mean 47.562500	 robotstep variance 5.921360	 total robotstep 62.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 10.812500	 taskstep variance 0.981071	 total taskstep 16.000000	 robotstep 62.000000	 robotstep mean 49.312500	 robotstep variance 5.747101	 total robotstep 66.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 7.312500	 taskstep variance 1.078193	 total taskstep 10.000000	 robotstep 48.000000	 robotstep mean 39.875000	 robotstep variance 3.364025	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 10.250000	 taskstep variance 1.341641	 total taskstep 14.000000	 robotstep 57.000000	 robotstep mean 43.562500	 robotstep variance 5.019545	 total robotstep 57.000000
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 8.625000	 taskstep variance 0.957427	 total taskstep 12.000000	 robotstep 53.000000	 robotstep mean 42.437500	 robotstep variance 4.366062	 total robotstep 53.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 10.250000	 taskstep variance 1.612452	 total taskstep 13.000000	 robotstep 58.000000	 robotstep mean 45.562500	 robotstep variance 5.265849	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 6.750000	 taskstep variance 1.238278	 total taskstep 9.000000	 robotstep 50.000000	 robotstep mean 40.312500	 robotstep variance 3.842200	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 10.500000	 taskstep variance 1.712698	 total taskstep 15.000000	 robotstep 51.000000	 robotstep mean 41.937500	 robotstep variance 4.138740	 total robotstep 52.000000
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 7.812500	 taskstep variance 1.558578	 total taskstep 10.000000	 robotstep 53.000000	 robotstep mean 42.062500	 robotstep variance 4.538263	 total robotstep 53.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 9.500000	 taskstep variance 0.894427	 total taskstep 13.000000	 robotstep 48.000000	 robotstep mean 42.125000	 robotstep variance 3.242941	 total robotstep 53.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 11.125000	 taskstep variance 1.024695	 total taskstep 16.000000	 robotstep 57.000000	 robotstep mean 45.750000	 robotstep variance 5.079370	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 12.000000	 taskstep mean 9.375000	 taskstep variance 1.586401	 total taskstep 13.000000	 robotstep 55.000000	 robotstep mean 44.187500	 robotstep variance 4.721846	 total robotstep 55.000000
SAPOAads Algorithm :	 taskstep 16.000000	 taskstep mean 13.500000	 taskstep variance 1.861899	 total taskstep 18.000000	 robotstep 62.000000	 robotstep mean 48.875000	 robotstep variance 6.238322	 total robotstep 63.000000
Data 8 complete: (SAPOAads Algorithm)	 success rate: 1.000000	 task step: 11.650000	 taskstep mean 9.628125	 taskstep variance 1.246754	 total taskstep 13.350000	 robotstep 54.600000	 robotstep mean 44.234375	 robotstep variance 4.585853	 total robotstep 56.500000

Data :	 9
SAPOAads Algorithm :	 taskstep 47.000000	 taskstep mean 24.875000	 taskstep variance 21.444113	 total taskstep 65.000000	 robotstep 53.000000	 robotstep mean 43.312500	 robotstep variance 4.854122	 total robotstep 53.000000
SAPOAads Algorithm :	 taskstep 64.000000	 taskstep mean 34.312500	 taskstep variance 29.259115	 total taskstep 99.000000	 robotstep 44.000000	 robotstep mean 39.687500	 robotstep variance 2.651258	 total robotstep 46.000000
SAPOAads Algorithm :	 taskstep 37.000000	 taskstep mean 20.125000	 taskstep variance 15.542951	 total taskstep 54.000000	 robotstep 43.000000	 robotstep mean 38.750000	 robotstep variance 2.695676	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 18.000000	 taskstep mean 11.625000	 taskstep variance 5.097385	 total taskstep 22.000000	 robotstep 44.000000	 robotstep mean 39.625000	 robotstep variance 3.159641	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 23.000000	 taskstep mean 13.875000	 taskstep variance 8.578073	 total taskstep 32.000000	 robotstep 44.000000	 robotstep mean 39.437500	 robotstep variance 2.632331	 total robotstep 46.000000
SAPOAads Algorithm :	 taskstep 29.000000	 taskstep mean 16.125000	 taskstep variance 11.695441	 total taskstep 43.000000	 robotstep 53.000000	 robotstep mean 43.312500	 robotstep variance 5.287958	 total robotstep 53.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 6.375000	 taskstep variance 3.074085	 total taskstep 12.000000	 robotstep 42.000000	 robotstep mean 37.500000	 robotstep variance 2.633122	 total robotstep 44.000000
SAPOAads Algorithm :	 taskstep 18.000000	 taskstep mean 11.000000	 taskstep variance 6.387488	 total taskstep 25.000000	 robotstep 45.000000	 robotstep mean 38.625000	 robotstep variance 2.895399	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 7.875000	 taskstep variance 3.537890	 total taskstep 16.000000	 robotstep 43.000000	 robotstep mean 37.937500	 robotstep variance 2.743933	 total robotstep 44.000000
SAPOAads Algorithm :	 taskstep 15.000000	 taskstep mean 9.375000	 taskstep variance 3.896580	 total taskstep 15.000000	 robotstep 48.000000	 robotstep mean 40.562500	 robotstep variance 3.723238	 total robotstep 48.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 7.625000	 taskstep variance 4.224926	 total taskstep 16.000000	 robotstep 50.000000	 robotstep mean 41.687500	 robotstep variance 4.771006	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 21.000000	 taskstep mean 11.625000	 taskstep variance 8.578073	 total taskstep 27.000000	 robotstep 49.000000	 robotstep mean 41.125000	 robotstep variance 4.395073	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 17.000000	 taskstep mean 11.500000	 taskstep variance 3.559026	 total taskstep 19.000000	 robotstep 50.000000	 robotstep mean 42.375000	 robotstep variance 3.827532	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 12.000000	 taskstep mean 7.375000	 taskstep variance 3.537890	 total taskstep 14.000000	 robotstep 42.000000	 robotstep mean 37.125000	 robotstep variance 2.801785	 total robotstep 43.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 8.625000	 taskstep variance 3.242941	 total taskstep 14.000000	 robotstep 44.000000	 robotstep mean 38.625000	 robotstep variance 2.848976	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 17.000000	 taskstep mean 9.750000	 taskstep variance 6.126445	 total taskstep 23.000000	 robotstep 41.000000	 robotstep mean 36.562500	 robotstep variance 2.632331	 total robotstep 42.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 7.875000	 taskstep variance 3.556684	 total taskstep 14.000000	 robotstep 45.000000	 robotstep mean 40.375000	 robotstep variance 2.704934	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 31.000000	 taskstep mean 17.437500	 taskstep variance 12.393379	 total taskstep 46.000000	 robotstep 53.000000	 robotstep mean 43.750000	 robotstep variance 4.892171	 total robotstep 53.000000
SAPOAads Algorithm :	 taskstep 19.000000	 taskstep mean 11.125000	 taskstep variance 7.301826	 total taskstep 27.000000	 robotstep 42.000000	 robotstep mean 38.187500	 robotstep variance 2.638655	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 25.000000	 taskstep mean 16.312500	 taskstep variance 7.471892	 total taskstep 32.000000	 robotstep 59.000000	 robotstep mean 46.500000	 robotstep variance 5.452828	 total robotstep 59.000000
Data 9 complete: (SAPOAads Algorithm)	 success rate: 1.000000	 task step: 22.800000	 taskstep mean 13.240625	 taskstep variance 8.425310	 total taskstep 30.750000	 robotstep 46.700000	 robotstep mean 40.253125	 robotstep variance 3.512098	 total robotstep 47.800000

Data :	 10
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.500000	 robotstep variance 4.082483	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.562500	 robotstep variance 4.016113	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.500000	 robotstep variance 4.082483	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.562500	 robotstep variance 4.016113	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.500000	 robotstep variance 4.082483	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.562500	 robotstep variance 4.016113	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.562500	 robotstep variance 4.016113	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.562500	 robotstep variance 4.016113	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.562500	 robotstep variance 4.016113	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.562500	 robotstep variance 4.016113	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.562500	 robotstep variance 4.016113	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.562500	 robotstep variance 4.016113	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.500000	 robotstep variance 4.082483	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.562500	 robotstep variance 4.016113	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.500000	 robotstep variance 4.082483	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.562500	 robotstep variance 4.016113	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.562500	 robotstep variance 4.016113	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.500000	 robotstep variance 4.082483	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.562500	 robotstep variance 4.016113	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.500000	 robotstep variance 4.082483	 total robotstep 58.000000
Data 10 complete: (SAPOAads Algorithm)	 success rate: 1.000000	 task step: 5.000000	 taskstep mean 3.625000	 taskstep variance 0.806226	 total taskstep 5.000000	 robotstep 53.000000	 robotstep mean 42.540625	 robotstep variance 4.039343	 total robotstep 58.000000

Data :	 11
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 8.625000	 taskstep variance 1.586401	 total taskstep 11.000000	 robotstep 46.000000	 robotstep mean 39.062500	 robotstep variance 3.696282	 total robotstep 48.000000
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 8.312500	 taskstep variance 1.621471	 total taskstep 11.000000	 robotstep 46.000000	 robotstep mean 38.750000	 robotstep variance 3.714835	 total robotstep 48.000000
SAPOAads Algorithm :	 taskstep 29.000000	 taskstep mean 23.437500	 taskstep variance 3.285701	 total taskstep 41.000000	 robotstep 57.000000	 robotstep mean 50.750000	 robotstep variance 4.464676	 total robotstep 67.000000
SAPOAads Algorithm :	 taskstep 12.000000	 taskstep mean 9.500000	 taskstep variance 2.129163	 total taskstep 12.000000	 robotstep 47.000000	 robotstep mean 40.750000	 robotstep variance 3.907258	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 12.000000	 taskstep mean 9.687500	 taskstep variance 2.182315	 total taskstep 13.000000	 robotstep 49.000000	 robotstep mean 41.187500	 robotstep variance 3.833514	 total robotstep 52.000000
SAPOAads Algorithm :	 taskstep 20.000000	 taskstep mean 16.937500	 taskstep variance 1.982213	 total taskstep 26.000000	 robotstep 47.000000	 robotstep mean 38.937500	 robotstep variance 3.549061	 total robotstep 49.000000
SAPOAads Algorithm fails! 
SAPOAads Algorithm :	 taskstep 18.000000	 taskstep mean 12.937500	 taskstep variance 3.086935	 total taskstep 24.000000	 robotstep 46.000000	 robotstep mean 39.812500	 robotstep variance 3.166886	 total robotstep 52.000000
SAPOAads Algorithm :	 taskstep 12.000000	 taskstep mean 7.937500	 taskstep variance 1.878608	 total taskstep 13.000000	 robotstep 45.000000	 robotstep mean 37.937500	 robotstep variance 3.295831	 total robotstep 48.000000
SAPOAads Algorithm :	 taskstep 30.000000	 taskstep mean 25.625000	 taskstep variance 4.272002	 total taskstep 47.000000	 robotstep 50.000000	 robotstep mean 42.312500	 robotstep variance 4.316152	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 18.000000	 taskstep mean 9.937500	 taskstep variance 4.538263	 total taskstep 25.000000	 robotstep 46.000000	 robotstep mean 39.062500	 robotstep variance 3.275541	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 17.000000	 taskstep mean 13.125000	 taskstep variance 3.556684	 total taskstep 20.000000	 robotstep 41.000000	 robotstep mean 37.125000	 robotstep variance 3.095696	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 8.562500	 taskstep variance 2.337199	 total taskstep 17.000000	 robotstep 46.000000	 robotstep mean 39.250000	 robotstep variance 3.151719	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 20.000000	 taskstep mean 15.937500	 taskstep variance 2.351418	 total taskstep 25.000000	 robotstep 45.000000	 robotstep mean 39.375000	 robotstep variance 3.364025	 total robotstep 51.000000
SAPOAads Algorithm :	 taskstep 12.000000	 taskstep mean 7.937500	 taskstep variance 2.235136	 total taskstep 15.000000	 robotstep 45.000000	 robotstep mean 38.250000	 robotstep variance 3.473711	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 16.000000	 taskstep mean 11.312500	 taskstep variance 3.048907	 total taskstep 21.000000	 robotstep 48.000000	 robotstep mean 40.562500	 robotstep variance 3.632607	 total robotstep 53.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 8.875000	 taskstep variance 1.962142	 total taskstep 12.000000	 robotstep 45.000000	 robotstep mean 39.375000	 robotstep variance 3.667424	 total robotstep 48.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 7.500000	 taskstep variance 1.751190	 total taskstep 13.000000	 robotstep 44.000000	 robotstep mean 36.750000	 robotstep variance 3.296463	 total robotstep 46.000000
SAPOAads Algorithm :	 taskstep 17.000000	 taskstep mean 15.375000	 taskstep variance 1.707825	 total taskstep 24.000000	 robotstep 45.000000	 robotstep mean 37.562500	 robotstep variance 3.305929	 total robotstep 46.000000
SAPOAads Algorithm :	 taskstep 22.000000	 taskstep mean 16.750000	 taskstep variance 3.511885	 total taskstep 30.000000	 robotstep 42.000000	 robotstep mean 37.937500	 robotstep variance 2.931865	 total robotstep 49.000000
Data 11 complete: (SAPOAads Algorithm)	 success rate: 0.950000	 task step: 16.315789	 taskstep mean 12.542763	 taskstep variance 2.580287	 total taskstep 21.052632	 robotstep 46.315789	 robotstep mean 39.723684	 robotstep variance 3.533657	 total robotstep 50.578947

Data :	 12
SAPOAads Algorithm :	 taskstep 16.000000	 taskstep mean 13.000000	 taskstep variance 2.394438	 total taskstep 21.000000	 robotstep 49.000000	 robotstep mean 40.562500	 robotstep variance 3.285701	 total robotstep 53.000000
SAPOAads Algorithm :	 taskstep 15.000000	 taskstep mean 11.562500	 taskstep variance 3.097714	 total taskstep 20.000000	 robotstep 49.000000	 robotstep mean 41.562500	 robotstep variance 3.501785	 total robotstep 55.000000
SAPOAads Algorithm :	 taskstep 19.000000	 taskstep mean 15.250000	 taskstep variance 2.840188	 total taskstep 27.000000	 robotstep 46.000000	 robotstep mean 39.437500	 robotstep variance 3.054368	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 6.500000	 taskstep variance 0.730297	 total taskstep 7.000000	 robotstep 49.000000	 robotstep mean 41.062500	 robotstep variance 3.530227	 total robotstep 54.000000
SAPOAads Algorithm :	 taskstep 16.000000	 taskstep mean 13.000000	 taskstep variance 2.581989	 total taskstep 21.000000	 robotstep 46.000000	 robotstep mean 38.937500	 robotstep variance 3.492253	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 12.625000	 taskstep variance 0.500000	 total taskstep 15.000000	 robotstep 51.000000	 robotstep mean 41.687500	 robotstep variance 3.772157	 total robotstep 55.000000
SAPOAads Algorithm :	 taskstep 12.000000	 taskstep mean 10.125000	 taskstep variance 1.310216	 total taskstep 15.000000	 robotstep 46.000000	 robotstep mean 38.562500	 robotstep variance 3.385631	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 27.000000	 taskstep mean 20.000000	 taskstep variance 6.521758	 total taskstep 39.000000	 robotstep 51.000000	 robotstep mean 42.562500	 robotstep variance 3.577126	 total robotstep 57.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 6.437500	 taskstep variance 0.727438	 total taskstep 7.000000	 robotstep 49.000000	 robotstep mean 41.125000	 robotstep variance 3.500000	 total robotstep 54.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 6.562500	 taskstep variance 0.629153	 total taskstep 7.000000	 robotstep 49.000000	 robotstep mean 41.000000	 robotstep variance 3.577709	 total robotstep 54.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 6.562500	 taskstep variance 0.629153	 total taskstep 7.000000	 robotstep 49.000000	 robotstep mean 41.000000	 robotstep variance 3.577709	 total robotstep 54.000000
SAPOAads Algorithm :	 taskstep 21.000000	 taskstep mean 19.000000	 taskstep variance 1.316561	 total taskstep 24.000000	 robotstep 46.000000	 robotstep mean 39.125000	 robotstep variance 3.556684	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 16.000000	 taskstep mean 13.375000	 taskstep variance 2.187083	 total taskstep 21.000000	 robotstep 49.000000	 robotstep mean 41.937500	 robotstep variance 3.530227	 total robotstep 55.000000
SAPOAads Algorithm :	 taskstep 14.000000	 taskstep mean 12.625000	 taskstep variance 1.087811	 total taskstep 17.000000	 robotstep 46.000000	 robotstep mean 39.000000	 robotstep variance 3.741657	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 9.687500	 taskstep variance 1.250000	 total taskstep 12.000000	 robotstep 48.000000	 robotstep mean 40.187500	 robotstep variance 3.780983	 total robotstep 51.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 6.437500	 taskstep variance 0.727438	 total taskstep 7.000000	 robotstep 49.000000	 robotstep mean 41.062500	 robotstep variance 3.530227	 total robotstep 54.000000
